	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
MSM79HFW	0	99	934	231	38	18	0	233	85	0	117	3497	374	353	0	0	206	234	1663	34	10	0	38	62	443
MSM79HFY	0	159	1222	166	30	13	0	192	43	0	110	3440	325	782	0	0	232	356	1255	52	14	0	39	21	242
MSM9VZF7	0	82	944	621	949	14	0	0	596	0	5	54	75	1423	0	0	91	1705	94	585	0	0	0	107	453
MSM9VZFF	564	71	375	293	300	14	27	0	803	0	1	38	73	586	0	6	59	4287	41	156	0	0	0	100	988
MSM9VZFH	423	85	533	291	197	49	51	0	821	0	12	42	148	1034	0	11	1343	20	211	259	0	0	0	234	967
MSM9VZFL	0	0	1335	496	515	0	1	0	192	0	220	958	1806	229	0	0	1312	0	1025	1	986	0	195	10	103
MSM9VZFN	0	0	964	1323	307	1	5	0	566	0	376	649	2455	292	0	36	516	0	875	1	852	0	46	54	146
MSM9VZFR	0	0	891	803	284	0	0	0	838	0	431	703	3367	273	0	5	334	0	891	2	430	0	65	21	115
MSM9VZFT	0	0	1089	377	346	0	0	0	972	0	116	598	1457	114	0	0	1675	0	1464	0	843	0	190	92	334
MSM9VZGO	2	4	253	224	0	0	0	460	31	201	37	97	537	87	0	112	968	0	3118	75	77	1452	88	94	929
MSM9VZGS	23	6	460	122	1	0	0	676	11	61	20	365	277	197	0	517	966	0	2464	48	38	717	29	442	2155
MSM9VZGU	161	1	265	190	2	0	0	753	20	22	34	391	617	261	0	21	2282	0	1676	58	66	1242	21	398	1341
MSM9VZGW	0	40	221	0	0	314	0	263	86	0	0	540	1	43	0	0	511	1	3592	68	45	0	0	84	3187
MSM9VZGY	0	105	384	0	0	589	0	547	389	1	0	1557	4	72	0	0	1136	31	1381	366	160	0	0	108	1205
MSM9VZH7	0	34	356	0	0	307	0	384	188	1	0	879	0	55	0	0	733	16	3150	155	77	0	0	49	2252
MSM9VZHB	145	0	15	155	0	0	0	526	0	78	14	102	862	46	0	1107	10	0	56	14	12	2538	25	836	326
MSM9VZHF	1670	9	225	196	41	0	24	536	26	336	35	370	266	298	0	0	265	0	1729	55	58	640	136	1126	1120
