Name	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Alistipes_sp_An31A	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_sp_CAG_299	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Coprococcus_eutactus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Dorea_sp_CAG_317	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Holdemania_filiformis	Hungatella_hathewayi	Intestinimonas_butyriciproducens	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_johnsonii	Parabacteroides_merdae	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Turicimonas_muris	Veillonella_parvula	[Collinsella]_massiliensis
PT_18_0032D22	0	0	0	2	57	0	491	0	0	0	0	0	2361	58	2390	0	0	0	0	0	4	0	3	286	1629	244	568	1	0	0	0	2	0	0	5	0	0	26	0	0	2	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1591	0	173	0	38	4	1	5	0	0	0	0	0	0	0	0	0	6	0	3	0	0	2	0	0
PT_18_0032D7	6	2	34	1	551	0	854	0	0	0	11	1	292	544	443	0	1	0	30	0	19	0	2	202	1218	735	21	2	11	19	0	7	2	0	39	108	0	91	1	2	3	0	5	2	88	110	1	124	2	9	0	0	0	0	0	0	170	11	2	73	0	1	0	99	0	0	2027	0	0	93	0	104	0	40	14	13	0	1	0	0	6	8	4	212	73	0	16	0	0	0	609	0	59	0	45	28	2	4	112	341	126	0	0	0	9	0	4	78	0	11	1	0	1	7	1
PT_18_0033D14	0	16	4	0	1757	158	1916	49	0	12	5	8	185	277	1029	0	0	0	0	0	0	0	0	94	1023	1	127	0	0	3	0	0	0	34	0	1	0	0	3	0	0	0	0	2	3	81	11	0	0	0	0	0	26	38	2	0	11	26	2	25	11	0	55	0	8	0	0	0	0	0	0	75	0	0	236	162	25	3	0	0	1	0	131	1	99	0	0	199	0	0	690	0	903	0	74	171	0	7	10	23	47	0	30	0	7	4	47	48	0	0	0	0	5	0	0
PT_18_0033D25	0	36	0	7	1630	405	1697	44	3	21	26	19	461	199	217	0	0	0	0	0	5	0	10	25	1080	17	227	4	0	45	0	4	0	47	0	12	0	0	6	0	0	1	0	13	0	36	1	0	0	0	0	0	45	99	18	0	41	46	23	26	324	0	27	0	32	0	2	1	1	0	0	133	0	0	379	718	14	18	0	0	4	2	34	53	84	1	1	177	0	0	363	0	175	0	4	238	3	0	0	0	107	5	140	0	9	90	159	97	0	5	4	0	0	0	0
PT_18_0033D68	0	1	20	0	1845	34	1237	23	0	6	10	0	100	418	1578	0	1	0	0	0	3	0	1	62	882	8	22	0	0	5	0	16	0	3	0	0	0	0	5	0	0	0	0	1	1	7	0	0	0	0	0	0	1	54	0	0	3	7	0	9	0	0	11	0	1	0	2	0	0	0	0	425	0	0	19	106	14	2	0	0	0	0	5	35	44	0	0	406	0	0	877	0	1015	0	129	249	2	12	107	89	0	7	11	0	0	45	7	4	0	0	0	0	9	0	0
PT_18_0033D77	0	0	4	2	976	21	1667	11	0	0	1	0	99	304	1569	0	1	0	0	0	5	0	3	262	1865	6	33	2	0	3	0	16	0	1	0	17	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	1	17	0	0	2	12	0	1	0	0	0	2	0	0	106	8	1	0	0	151	0	0	12	44	5	0	0	0	0	0	0	1	40	0	0	262	0	2	290	0	1271	0	321	354	7	37	66	28	1	12	3	0	0	33	0	5	0	0	0	0	21	0	0
PT_18_0034D125	120	0	4	4626	4	5	1561	74	0	11	0	0	460	367	34	0	0	132	0	0	200	0	1	170	931	178	0	0	0	0	0	21	0	0	13	0	0	0	6	1	4	0	0	9	0	3	1	2	0	0	0	0	0	0	0	0	0	15	1	1	0	1	128	0	0	3	23	0	0	0	0	40	0	0	9	2	0	1	0	0	0	0	0	0	3	0	1	189	27	0	425	0	57	0	48	0	0	5	0	10	0	0	0	0	4	0	43	24	0	0	0	0	2	0	0
PT_18_0034D146	3	0	0	7969	5	6	200	2	2	1	0	0	188	156	27	0	0	32	0	1	108	0	6	4	232	132	3	2	0	0	0	83	0	0	0	0	0	0	49	0	9	0	0	0	0	3	20	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	179	0	0	0	4	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	431	0	56	0	38	0	9	2	0	0	0	0	0	0	7	0	0	15	0	0	0	0	1	0	0
PT_18_0034D20	642	0	0	3100	1	18	6	200	0	3	1	0	311	304	211	0	0	128	0	0	148	0	2	227	1333	596	1	1	0	0	0	31	0	2	1	5	0	0	144	0	40	0	0	16	0	9	5	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	64	0	1	9	716	0	0	0	0	155	0	30	21	5	0	1	0	0	0	0	0	0	5	0	1	448	42	0	684	0	57	0	167	0	1	14	0	53	0	0	0	0	0	0	20	5	0	0	0	0	3	0	0
PT_18_0034D27	56	0	0	462	3	6	14	155	0	0	0	0	759	1713	532	0	0	528	0	0	363	0	3	443	688	1991	1	1	0	0	0	4	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	104	0	0	0	47	0	0	0	0	8	0	0	15	0	0	0	0	0	0	0	0	0	5	0	0	308	30	0	1568	0	40	0	71	0	3	7	0	47	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
PT_18_0034D33	189	0	0	769	0	16	19	137	2	0	1	0	485	494	734	0	0	158	0	0	14	0	7	471	1192	1243	1	2	0	0	0	20	0	0	28	1	0	0	42	0	9	0	0	8	0	4	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	126	0	0	2	211	0	0	0	0	15	0	1	7	0	0	0	0	0	0	0	0	0	5	0	0	340	76	0	2747	0	97	0	203	0	7	13	0	78	0	0	0	0	0	0	7	7	0	0	0	0	6	0	0
PT_18_0034D40	445	0	0	1478	8	21	10	140	0	3	0	0	585	192	476	0	0	10	0	1	36	0	2	402	968	1347	1	1	0	0	0	38	0	0	8	0	0	0	55	1	32	0	0	18	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	700	0	1	0	549	0	0	0	0	3	0	24	11	0	0	3	0	0	0	0	0	0	8	0	0	158	59	0	1888	0	104	0	168	0	1	12	0	15	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
PT_18_0034D48	238	0	2	2360	0	10	8	101	0	19	0	0	687	722	271	0	0	336	0	0	246	0	2	323	1890	1019	1	0	0	0	0	8	0	0	19	1	0	0	43	1	12	0	0	76	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	41	0	1	1	36	0	0	0	0	3	0	2	6	0	0	1	0	0	0	0	0	0	2	0	0	361	110	0	808	0	91	0	113	0	4	12	0	0	0	0	0	0	3	0	0	6	0	0	0	0	3	0	0
PT_19_0001D13	28	13	3	48	1108	0	891	210	0	1	10	15	556	51	61	0	0	0	193	0	383	0	4	1	811	384	13	418	4	22	0	8	6	109	194	168	0	0	1	0	5	1	6	7	0	3	5	424	3	10	0	12	70	0	0	150	131	22	62	5	82	0	83	3	13	4	9	0	0	0	0	161	0	13	0	46	0	15	0	0	0	2	0	0	0	53	24	150	14	179	641	247	457	0	20	397	74	4	21	6	4	21	0	0	413	0	0	173	14	22	5	0	0	0	1
PT_19_0001D21	211	11	0	42	223	0	300	101	0	20	1	14	333	25	7	0	0	0	1847	0	394	0	2	1	653	582	6	239	65	30	0	2	14	30	0	74	0	0	15	0	0	1	0	2	0	0	10	308	1	4	0	33	220	0	1	45	13	4	8	3	128	0	392	4	41	0	2	0	0	0	0	248	0	472	1	16	0	3	0	0	0	8	0	7	0	41	0	49	5	671	367	102	289	0	18	163	279	6	19	0	3	28	0	287	7	32	0	294	17	22	11	72	0	0	1
PT_19_0001D30	2	5	8	23	121	0	445	35	0	115	7	12	131	110	3	0	1	0	70	0	96	0	2	0	214	1838	9	111	0	5	0	3	24	182	0	386	0	0	0	0	0	2	1	6	0	1	0	227	1	2	0	36	52	0	0	15	21	10	0	0	2	0	11	999	29	1	2	11	0	0	2	1037	0	2	0	196	0	0	0	0	0	0	0	18	2	3	0	119	1	42	1240	121	222	0	28	46	733	9	107	11	0	49	0	382	1	85	0	118	10	7	11	6	1	0	1
PT_19_0001D56	16	4	0	41	74	0	629	151	1	0	16	7	70	51	1	0	0	0	1899	0	97	0	1	2	297	416	0	535	11	6	0	2	6	0	0	8	0	0	0	0	0	52	0	6	0	1	0	109	1	3	0	3	6	0	0	17	0	3	9	0	750	0	1404	27	58	0	2	7	1	0	0	62	0	53	1	6	0	1	0	0	0	0	2	9	1	18	6	237	31	1128	97	92	111	0	21	27	42	8	2	0	0	7	0	1179	0	4	0	36	16	2	2	0	2	0	0
PT_19_0001D65	52	0	0	448	236	0	890	93	3	45	7	1	217	73	15	0	0	0	44	0	86	0	12	0	508	305	3	379	0	10	0	8	72	12	0	128	0	0	1	0	0	0	0	1	0	28	1	99	4	1	0	0	47	0	0	66	34	2	2	0	0	0	1539	13	59	0	5	114	0	0	36	912	0	42	0	12	0	0	0	0	0	0	0	1	0	750	9	15	46	278	217	108	81	0	21	35	188	7	344	3	2	65	60	913	0	72	0	56	29	26	10	0	0	0	0
