	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79H7Y	0	13	0	73	360	0	96	1	0	2	58	511	2	0	1218	0	14	0	0	0	9	233	41	1124	454	35	126	81	7	9	6	0	0	0	0	0	4	0	0	0	0	6	0	30	11	20	0	0	17	56	0	0	0	95	7	18	870	23	44	2984	0	3	2	0	0	0	0	0	2	6	0	65	7	1	10	390	0	3	0	2	0	27	12	27	1	0	1	15	0	0	11	75	0	3	0	652	0	0	2	18	6
MSM79H81	75	0	0	0	1791	0	610	0	0	3	0	0	0	1722	0	0	0	0	0	0	0	0	754	1	1	0	0	0	2	0	2	0	0	17	0	0	5	0	0	0	0	0	0	7	7	7	0	82	4	9	4	0	0	176	0	0	1262	5	0	1246	0	764	0	0	0	0	0	0	1	0	4	0	6	0	0	0	4	0	10	0	0	26	625	14	0	0	0	0	1	0	13	13	63	18	0	48	0	52	49	45	452
MSM79H83	157	0	0	0	1207	0	349	2	0	0	0	0	0	2794	0	0	0	0	0	0	0	0	2254	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	1	13	0	108	1	18	0	0	0	228	0	0	242	1	13	1801	4	10	0	0	0	0	0	0	3	0	13	0	25	0	0	0	3	0	0	0	0	427	120	68	0	2	0	0	3	0	2	18	7	0	0	53	0	13	1	27	2
MSM79H85	25	0	0	0	1505	0	197	0	0	1	0	0	0	1955	0	0	0	0	0	0	0	0	1482	0	0	0	0	0	7	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	3	3	7	0	31	1	32	0	0	0	150	1	0	494	32	10	1054	0	91	0	0	22	0	0	0	1	0	12	0	3	0	0	0	0	0	6	0	0	43	1074	67	0	0	0	0	0	0	5	18	14	2	0	27	0	37	29	32	45
MSM79H87	338	0	0	0	1294	0	343	0	0	0	0	0	0	2412	0	0	0	0	0	0	0	0	3330	0	0	0	0	0	4	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	6	0	20	2	3	1	0	0	117	0	0	130	768	5	544	0	29	0	0	0	0	0	0	1	0	14	0	8	0	0	0	5	0	6	0	1	144	291	27	0	0	0	0	0	0	1	22	7	0	0	32	0	13	6	43	2
MSM79H89	1933	0	0	0	1138	0	222	2	0	11	0	0	0	1640	0	0	0	0	0	0	0	0	1044	0	0	0	0	0	6	0	1	0	0	19	0	0	0	2	3	0	0	11	0	2	4	36	0	287	13	49	0	18	4	457	7	6	807	120	21	849	15	0	0	0	0	0	0	0	6	2	5	0	47	0	0	0	0	0	0	0	2	8	709	177	0	3	0	0	0	0	8	33	15	5	3	211	0	0	0	36	7
MSM79H8B	506	0	0	0	1406	0	468	0	0	4	0	0	0	2347	0	0	0	0	0	0	0	0	1505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1	1	0	102	14	2	0	1	1	228	0	2	335	187	0	564	4	0	0	0	0	0	0	0	1	0	0	0	30	0	0	0	0	0	0	0	0	3	2002	121	0	2	0	0	0	0	4	16	3	40	0	85	0	0	0	4	2
MSM79H8D	0	46	4	525	918	2	105	0	2	1	19	0	0	511	248	604	185	0	671	0	454	0	0	2140	1	0	350	18	0	10	28	12	0	0	3	1	0	9	1	0	0	3	0	15	0	6	0	0	18	13	0	0	0	0	14	22	455	3	5	464	7	1	7	0	0	2	31	0	0	28	0	119	51	526	0	693	0	0	2	0	0	2	0	25	0	0	49	0	1	0	13	34	0	0	0	358	158	4	0	2	1
MSM79H8F	0	10	0	39	35	0	43	0	0	0	1	0	0	723	180	1192	89	0	1527	0	2893	0	1	1287	0	0	409	0	0	0	8	3	0	0	2	0	0	7	6	0	0	0	0	3	0	1	0	0	5	16	0	0	0	0	2	9	240	0	0	112	0	0	0	0	0	0	1	0	0	0	3	0	0	757	0	126	64	0	1	0	0	2	0	1	0	0	0	0	0	0	9	10	0	0	0	52	125	4	0	0	0
MSM79H8H	0	14	2	303	1737	1	90	0	0	4	33	0	0	231	784	117	268	0	555	0	223	1	0	786	0	0	419	21	0	27	15	5	0	0	3	2	0	4	0	0	4	10	1	19	0	12	0	0	12	31	0	0	0	0	61	2	915	15	13	1178	3	0	5	0	0	0	46	0	0	49	0	106	32	308	0	319	0	0	4	0	0	0	0	20	1	0	84	0	0	0	24	85	0	0	0	895	98	0	0	0	0
