Name	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_leptum	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_piger	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemanella_biformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Klebsiella_pneumoniae	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lawsonibacter_asaccharolyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Paraprevotella_xylaniphila	Phascolarctobacterium_faecium	Prevotella_copri	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Streptococcus_vestibularis	Veillonella_parvula	[Collinsella]_massiliensis
Ge_R13.V2	0	0	0	0	0	0	0	0	0	0	0	0	0	3429	0	0	0	3652	0	0	0	0	109	0	0	1447	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	1	20	0	0	0
Ge_R14.V2	0	0	0	0	0	4505	379	163	1487	4	0	96	0	0	0	5	6	407	0	0	0	540	14	6	0	132	1070	6	0	0	0	0	155	0	0	0	0	0	48	27	0	0	0	10	0	0	0	0	0	54	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	104	58	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	61	246	54	0	0
Ge_R2.V2	0	0	0	0	0	0	1728	0	0	0	0	0	0	0	0	0	1310	3090	0	0	0	0	0	364	894	460	0	0	0	0	0	0	111	0	0	0	0	10	0	0	442	0	0	269	0	0	40	1	0	0	0	0	0	28	0	0	9	7	0	0	0	0	0	0	0	0	0	18	0	89	573	0	0	0	0	0	82	0	0	0	0	1	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	11	0	0	0
Ge_R5.V2	12	7	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	193	136	0	577	579	2990	273	2090	648	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0	0	73	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	145	0	0	0	16	280	0	0	0	0	0	0	144	0	0	0	0	0	520	0	0	0	6	18	7	50	0	0	0
Ge_R6.V2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	199	0	2002	1993	2808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	231	0	0	0	324	0	0	0	0	0	0	0	48	2	0	22	0	0	0	0	0	0	0	0	0	0	349	0	0	8	0	1	0	16	0	0	0	0	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	872	0	0	89	0	0	0	0	0	0	0	0	0	0
Ge_R8.V2	0	0	0	0	67	0	1	65	1	42	103	4	0	0	0	2	686	0	188	0	0	72	970	1910	657	994	85	0	39	0	140	0	109	0	0	9	0	0	1	0	0	0	69	0	0	0	0	0	0	0	0	105	0	1	202	41	0	0	0	0	0	0	0	609	0	390	0	682	83	49	23	0	7	0	2	0	0	0	2	0	0	10	14	0	0	171	40	162	0	0	0	61	0	0	0	0	1108	0	0	0	21	1	0	0	0	0	0	0	0	0	0
Pa_R14.V2	0	0	0	0	0	0	775	11	0	23	0	0	0	106	345	0	212	0	0	129	0	0	0	0	73	1717	4658	0	41	0	0	177	0	0	4	0	0	0	3	39	347	0	0	115	0	0	0	0	0	302	0	0	0	0	0	68	159	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	10	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	184	4
Pa_R2.V2	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	263	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7139	0	0	0	0	16	0	0	0	0	0	0	0	451	0	1	152	1457	0	0	316	0
Pa_R3.V2	3	0	0	0	22	655	3	0	4	42	0	0	0	110	0	0	6	597	43	18	0	0	14	0	69	3587	1315	0	0	0	396	0	396	1144	0	9	0	0	0	129	0	3	98	2	0	0	0	91	0	0	0	0	0	1	0	0	31	0	7	23	187	0	0	0	0	0	0	0	184	197	53	0	0	0	1	0	1	0	0	0	0	1	29	0	0	97	7	0	0	0	0	0	0	0	28	0	0	27	0	148	135	47	0	0	3	3	0	0	23	10	0
Pa_R5.V2	0	2	0	0	0	245	0	0	0	170	0	53	0	0	0	0	0	407	0	0	0	0	238	84	137	2488	1021	0	282	0	0	15	166	0	0	111	23	55	0	96	52	70	0	64	0	14	46	1	8	0	0	80	0	3	741	249	17	0	32	863	96	0	37	0	0	0	8	0	520	33	0	0	36	0	0	33	0	0	0	0	0	0	36	0	0	94	412	30	166	0	0	0	41	16	0	0	549	51	0	0	0	0	4	0	0	0	1	0	0	0	0
