	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM79HMT	0	193	784	356	22	22	52	0	459	2618	4	1020	1747	471	0	11	208	0	1066	0	33	0	51	14	445
CSM79HNE	0	0	610	0	0	0	936	0	195	0	0	0	0	0	15	0	298	0	596	0	0	0	7205	35	32
CSM79HNI	998	0	3055	0	0	0	2657	0	235	0	0	0	0	0	86	0	1487	0	771	0	0	0	242	54	57
CSM79HNK	312	0	2827	0	0	0	3652	0	505	0	0	0	0	0	60	0	1175	0	955	0	0	0	269	18	52
CSM79HNM	523	0	2360	0	0	0	4353	0	339	0	0	0	0	0	249	0	992	0	529	0	0	0	285	31	76
CSM79HO1	268	98	458	0	530	0	51	0	0	3617	228	1310	0	0	0	957	0	30	0	75	1430	0	0	11	86
CSM79HPK	0	0	0	4	0	51	0	0	8	9	0	25	146	0	0	0	875	0	290	33	0	8211	89	50	7
CSM79HPO	0	0	9	1001	0	95	5294	0	1036	355	0	1027	225	0	0	216	518	0	34	149	0	24	0	0	18
CSM79HPS	0	0	0	120	0	290	51	0	208	177	0	909	58	0	0	14	730	103	352	219	0	6368	18	17	79
CSM79HPU	0	0	0	0	0	0	2364	0	944	0	0	1430	1541	0	0	0	1232	0	0	0	0	2490	0	0	0
CSM7KOJQ	0	0	0	564	501	2856	0	0	594	0	213	3870	0	0	260	0	0	0	0	526	0	0	54	104	71
CSM7KOJS	0	0	0	180	596	1278	0	0	1320	0	90	5040	0	0	260	0	30	0	0	596	0	0	29	49	46
CSM7KOJU	0	0	0	278	309	1035	0	0	674	0	91	6184	0	0	164	0	26	2	0	520	0	0	39	41	64
CSM7KOJW	0	0	0	643	1303	2621	0	0	1582	0	149	2290	0	0	138	0	255	0	0	417	0	0	12	40	134
CSM7KOJY	0	0	0	333	1035	1478	0	0	972	27	142	5072	11	0	195	0	17	0	0	270	6	0	5	7	128
CSM7KOK1	0	0	0	512	502	1999	0	0	670	0	166	4732	0	0	249	0	19	0	218	507	0	0	16	26	24
CSM7KOLY	31	0	2505	0	0	0	4001	0	388	0	0	0	0	0	51	0	1398	0	445	0	0	0	876	23	40
CSM7KOMP	12	1	0	0	0	68	282	0	164	3665	286	530	209	0	273	141	66	0	1894	0	0	0	387	144	134
CSM7KOMT	9	0	0	0	0	0	243	0	125	1883	241	270	135	0	265	75	862	0	2658	0	0	0	92	197	161
CSM7KONU	0	0	0	15	0	271	1269	0	384	339	0	472	169	0	0	0	2087	0	692	398	0	3455	0	48	22
CSM7KOP6	0	788	1149	0	785	2	346	1437	322	663	45	2584	369	0	0	16	61	130	484	47	326	0	0	54	89
CSM7KOP8	9	267	624	0	429	2	0	799	399	1566	20	2500	293	0	0	1	197	1552	744	11	284	0	80	26	17
CSM7KOPE	0	242	732	0	1379	1	0	1080	2501	101	16	1599	446	0	0	0	768	193	576	9	240	0	5	16	31
CSM7KOPG	0	0	0	502	512	2689	0	0	606	0	169	3744	0	0	185	14	58	0	322	692	0	0	16	37	27
CSM7KOPI	0	0	0	549	261	2122	0	0	617	0	315	3872	1	0	293	1	51	0	626	734	0	0	118	61	38
CSM7KOPK	0	0	0	625	308	2311	0	0	494	0	357	4150	0	0	223	0	51	0	306	550	0	0	18	45	92
CSM7KOPM	0	1	1	679	177	1007	0	4	357	1	339	5360	1	0	225	0	137	0	587	677	0	0	28	39	35
CSM7KOPO	1	0	7	933	470	759	7	0	494	4	427	4571	6	0	269	2	110	0	516	647	0	0	61	66	86
CSM7KORM	0	157	0	532	0	12	0	0	1246	1002	148	566	1114	0	0	11	54	0	2444	350	381	0	25	19	139
CSM7KORO	0	44	0	418	0	0	0	0	965	1276	61	385	1205	0	0	0	102	0	2351	133	1133	0	564	109	9
CSM7KORS	0	0	0	1144	0	0	0	0	1672	1283	522	0	1257	0	0	0	288	0	1089	882	443	0	0	25	72
CSM7KORU	0	0	0	688	0	9	1	0	1404	1225	909	44	1316	0	0	0	102	1	1791	760	297	0	0	32	49
CSM7KOS7	1707	0	4066	0	0	0	1766	0	115	0	0	0	0	0	225	5	750	0	445	0	0	0	42	52	144
