	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
CSM7KOU9	0	620	773	0	519	16	0	0	3	1092	464	534	22	4069	177	0	0	0	0	144	227	0	768	37	31	53	277	0	9	0	59	106
CSM7KOUB	0	892	1033	0	579	2	0	0	525	1413	191	594	35	3385	300	0	0	0	37	3	6	126	164	14	37	116	312	0	21	3	91	122
CSM7KOUL	0	0	0	332	2	150	4793	585	0	0	84	2	429	1532	535	0	64	4	0	111	110	2	656	40	243	4	91	0	122	38	33	39
CSM7KOUN	0	0	0	502	0	166	3253	1123	0	0	22	3	820	1230	379	0	133	0	7	88	32	1	1155	60	503	0	405	0	38	7	19	53
CSM9X1XU	0	0	0	714	0	1	1	1254	0	0	1809	1626	395	4	1285	0	0	0	0	91	28	0	725	159	1278	530	0	0	0	0	18	81
CSM9X1Y3	0	121	0	379	0	0	0	1259	0	0	749	2050	96	0	919	0	0	0	11	447	546	0	1473	152	1102	491	0	0	0	0	108	97
CSM9X1Y5	17	0	3263	0	0	0	0	0	3154	0	153	0	0	0	0	0	45	151	0	59	856	0	801	148	0	0	1	0	879	248	60	168
CSM9X1ZO	1206	636	947	0	895	0	0	0	0	1605	750	107	25	2242	455	0	0	0	1	83	60	133	251	13	15	438	20	0	27	4	15	72
CSM9X1ZQ	170	621	637	0	661	0	0	0	0	1781	475	73	34	3828	516	0	0	0	2	17	51	104	247	10	29	510	164	0	14	2	19	35
CSM9X1ZY	158	287	767	0	999	1	0	0	0	1529	773	339	40	3163	609	0	0	0	0	47	134	0	337	9	31	261	376	0	84	6	8	40
CSM9X211	0	0	0	1087	0	60	2477	1311	0	0	75	1	226	1337	483	0	0	0	0	417	476	0	1369	42	265	0	181	0	0	49	64	79
CSM9X213	4	10	20	803	0	245	3171	1412	1	0	137	74	513	806	612	10	0	0	0	148	340	30	1045	71	175	5	100	0	124	68	18	57
CSM9X215	0	0	0	567	0	35	4408	1640	0	0	97	1	512	931	574	0	0	0	0	143	59	0	516	18	114	0	104	0	211	24	18	29
CSM9X219	0	0	0	507	0	84	1060	1354	0	0	33	0	537	1758	1009	0	0	0	3	475	283	0	1880	151	165	0	151	0	289	201	16	45
