	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
CSM67UG8	0	72	710	313	27	34	0	0	100	0	488	1271	8	1254	1622	373	13	0	177	492	347	0	2159	32	0	43	7	0	20	45	26	368
CSM79HGF	0	0	0	942	0	574	0	0	0	0	402	420	0	2216	93	0	0	0	0	186	1748	72	1512	344	511	0	76	475	0	17	9	402
CSM79HID	0	0	0	598	612	2054	0	0	0	0	3959	0	182	1354	0	0	0	123	2	0	0	0	0	15	497	0	347	0	44	0	171	43
CSM79HIF	0	0	0	470	503	2545	3	0	0	2	3656	2	265	1385	5	0	0	119	1	0	0	0	9	0	420	0	419	72	66	0	25	34
CSM79HIH	0	0	0	446	1131	1947	0	0	0	0	2498	0	460	2601	0	0	0	79	0	0	0	0	0	0	361	0	292	0	52	0	101	33
CSM79HIJ	2	4	9	625	859	1526	0	0	0	0	864	28	273	4717	2	4	0	196	1	0	0	14	6	84	381	1	272	0	18	0	24	88
CSM79HIL	0	0	0	526	325	1900	0	0	0	0	626	0	247	5651	0	0	0	157	1	0	0	0	0	0	238	0	214	0	12	0	34	67
CSM79HIN	0	0	0	853	1032	3772	0	0	0	0	747	0	193	1569	0	0	0	208	0	0	0	0	0	74	625	0	620	0	14	0	137	157
CSM79HLA	0	0	0	1220	37	57	0	21	0	0	773	1201	1	875	1379	0	0	0	1	27	2542	0	221	322	47	528	0	0	0	132	223	393
CSM79HLA_TR	0	0	0	1234	46	0	0	26	0	0	697	1787	1	1082	1613	0	0	0	12	18	1840	0	215	299	45	593	0	0	0	99	66	327
CSM79HLC	0	0	6	820	24	54	0	20	0	0	649	3776	5	1113	1307	0	0	1	0	12	1053	0	277	211	36	257	0	0	7	223	12	138
CSM79HLE	25	1	0	615	59	182	0	225	0	0	543	1534	8	1307	3617	0	0	0	0	1	751	1	113	16	325	553	0	0	0	49	3	72
CSM79HLG	0	0	0	832	2	95	0	310	0	0	1236	591	5	1424	2057	0	0	0	0	47	1232	0	427	152	211	897	0	0	0	287	27	168
CSM79HLI	0	0	0	628	195	64	0	16	0	0	419	4004	2	903	1924	0	0	0	4	3	834	0	273	53	209	315	0	0	0	84	9	62
CSM79HLK	0	0	0	1083	13	60	0	235	0	0	1328	2440	3	1281	1522	0	0	0	4	5	743	0	259	101	156	447	0	0	0	102	52	166
CSM79HLM	0	168	1406	772	0	1175	0	0	57	0	1607	0	80	3538	0	0	0	0	0	0	25	229	608	41	128	0	18	0	0	0	16	132
CSM79HM1	16	0	0	0	0	90	0	0	264	0	1034	3214	417	2012	403	0	401	31	16	644	165	0	964	19	0	0	0	0	113	0	88	109
CSM79HM7	3	0	0	0	0	0	0	0	125	0	462	1891	160	140	127	0	544	56	9	664	14	0	1760	42	0	0	0	0	3780	9	149	67
CSM79HMN	0	98	1164	347	30	28	0	0	323	0	257	1392	6	528	1513	872	6	0	39	215	269	0	2287	52	0	36	0	0	1	250	36	252
CSM79HMP	0	191	853	249	83	231	0	0	33	0	345	1911	18	241	2002	343	62	0	21	400	639	0	1088	73	0	43	0	0	80	320	30	744
CSM79HMT	0	193	784	356	22	22	0	0	52	0	459	2618	4	1020	1747	471	36	0	11	233	208	0	1066	52	0	33	0	0	51	102	14	445
CSM79HNE	0	0	610	0	0	0	0	0	936	0	195	0	0	0	0	0	11	15	0	16	298	0	596	6	0	0	0	0	7205	46	35	32
CSM79HNI	998	0	3055	0	0	0	0	0	2657	0	235	0	0	0	0	0	4	86	0	255	1487	0	771	57	0	0	0	0	242	40	54	57
CSM79HNK	312	0	2827	0	0	0	0	0	3652	0	505	0	0	0	0	0	5	60	0	80	1175	0	955	16	0	0	0	0	269	73	18	52
CSM79HNM	523	0	2360	0	0	0	0	0	4353	0	339	0	0	0	0	0	4	249	0	11	992	0	529	62	0	0	1	0	285	182	31	76
CSM79HO1	268	98	458	0	530	0	0	0	51	0	0	3617	228	1310	0	0	0	0	957	0	0	30	0	51	75	1430	799	0	0	0	11	86
CSM79HPK	0	0	0	4	0	51	0	0	0	0	8	9	0	25	146	0	0	0	0	68	875	0	290	6	33	0	2	8211	89	126	50	7
CSM79HPO	0	0	9	1001	0	95	0	0	5294	0	1036	355	0	1027	225	0	0	0	216	0	518	0	34	0	149	0	0	24	0	0	0	18
CSM79HPS	0	0	0	120	0	290	0	0	51	0	208	177	0	909	58	0	0	0	14	43	730	103	352	160	219	0	71	6368	18	14	17	79
CSM79HPU	0	0	0	0	0	0	0	0	2364	0	944	0	0	1430	1541	0	0	0	0	0	1232	0	0	0	0	0	0	2490	0	0	0	0
CSM7KOJQ	0	0	0	564	501	2856	0	0	0	0	594	0	213	3870	0	0	0	260	0	0	0	0	0	15	526	0	370	0	54	0	104	71
CSM7KOJS	0	0	0	180	596	1278	0	0	0	0	1320	0	90	5040	0	0	0	260	0	0	30	0	0	22	596	0	463	0	29	0	49	46
CSM7KOJU	0	0	0	278	309	1035	0	0	0	0	674	0	91	6184	0	0	0	164	0	0	26	2	0	72	520	0	502	0	39	0	41	64
CSM7KOJW	0	0	0	643	1303	2621	0	0	0	0	1582	0	149	2290	0	0	0	138	0	0	255	0	0	57	417	0	359	0	12	0	40	134
CSM7KOJY	0	0	0	333	1035	1478	0	0	0	0	972	27	142	5072	11	0	0	195	0	0	17	0	0	29	270	6	272	0	5	0	7	128
CSM7KOK1	0	0	0	512	502	1999	0	0	0	0	670	0	166	4732	0	0	0	249	0	0	19	0	218	0	507	0	360	0	16	0	26	24
CSM7KOLY	31	0	2505	0	0	0	0	0	4001	0	388	0	0	0	0	0	19	51	0	46	1398	0	445	31	0	0	0	0	876	146	23	40
CSM7KOMP	12	1	0	0	0	68	0	0	282	0	164	3665	286	530	209	0	356	273	141	1333	66	0	1894	34	0	0	0	0	387	23	144	134
CSM7KOMT	9	0	0	0	0	0	0	0	243	0	125	1883	241	270	135	0	1199	265	75	1556	862	0	2658	15	0	0	0	0	92	15	197	161
CSM7KONU	0	0	0	15	0	271	0	0	1269	0	384	339	0	472	169	0	0	0	0	0	2087	0	692	378	398	0	0	3455	0	0	48	22
CSM7KOP6	0	788	1149	0	785	2	0	0	346	1437	322	663	45	2584	369	0	0	0	16	58	61	130	484	14	47	326	226	0	0	5	54	89
CSM7KOP8	9	267	624	0	429	2	0	0	0	799	399	1566	20	2500	293	0	0	0	1	112	197	1552	744	6	11	284	50	0	80	10	26	17
CSM7KOPE	0	242	732	0	1379	1	0	0	0	1080	2501	101	16	1599	446	0	0	0	0	15	768	193	576	12	9	240	33	0	5	6	16	31
CSM7KOPG	0	0	0	502	512	2689	0	0	0	0	606	0	169	3744	0	0	0	185	14	0	58	0	322	0	692	0	427	0	16	0	37	27
CSM7KOPI	0	0	0	549	261	2122	0	0	0	0	617	0	315	3872	1	0	0	293	1	0	51	0	626	40	734	0	301	0	118	0	61	38
CSM7KOPK	0	0	0	625	308	2311	0	0	0	0	494	0	357	4150	0	0	0	223	0	0	51	0	306	1	550	0	468	0	18	0	45	92
CSM7KOPM	0	1	1	679	177	1007	0	0	0	4	357	1	339	5360	1	0	0	225	0	0	137	0	587	34	677	0	312	0	28	0	39	35
CSM7KOPO	1	0	7	933	470	759	0	3	7	0	494	4	427	4571	6	0	0	269	2	0	110	0	516	84	647	0	477	0	61	0	66	86
CSM7KORM	0	157	0	532	0	12	106	1029	0	0	1246	1002	148	566	1114	0	0	0	11	485	54	0	2444	182	350	381	0	0	25	1	19	139
CSM7KORO	0	44	0	418	0	0	0	1039	0	0	965	1276	61	385	1205	0	0	0	0	172	102	0	2351	14	133	1133	0	0	564	21	109	9
CSM7KORS	0	0	0	1144	0	0	0	1023	0	0	1672	1283	522	0	1257	0	0	0	0	214	288	0	1089	86	882	443	0	0	0	0	25	72
CSM7KORU	0	0	0	688	0	9	0	1134	1	0	1404	1225	909	44	1316	0	0	0	0	115	102	1	1791	120	760	297	0	0	0	0	32	49
CSM7KOS7	1707	0	4066	0	0	0	0	0	1766	0	115	0	0	0	0	0	11	225	5	110	750	0	445	562	0	0	0	0	42	2	52	144
CSM7KOSH	220	0	3444	0	0	0	0	0	3626	0	688	0	0	1	1	0	18	89	0	44	53	0	1471	104	0	0	1	0	100	32	9	99
