	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiaceae_bacterium_JC118	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Eggerthella_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79H67	0	0	0	0	413	0	56	5	3	0	925	0	0	0	0	0	972	409	344	137	1672	0	0	0	0	0	17	4	0	4	0	68	0	0	1060	36	131	2	193	55	0	6	0	0	18	0	76	0	6	0	0	201	0	0	405	116	0	1405	0	6	165	0	0	0	29	0	4	0	0	0	7	0	431	0	0	0	0	26	18	0	0	0	0	5	29	476	2	5	44	0	0	0	14	2
MSM79H69	0	0	0	0	913	0	96	12	6	0	644	0	1	0	0	0	1028	1493	285	456	444	0	0	0	0	0	143	56	0	0	3	17	25	1	401	9	22	18	23	12	0	1	0	0	0	0	16	0	1	9	1	182	1	0	2202	59	0	217	0	0	14	1	0	0	16	3	9	77	0	0	155	0	497	0	0	0	0	40	9	0	0	0	0	18	4	165	0	0	193	0	0	0	0	1
MSM79H6B	0	0	0	0	1873	0	9	1	0	0	605	0	0	0	0	0	1307	1364	764	311	425	0	0	0	0	0	45	18	0	0	3	7	3	0	30	3	12	7	14	9	0	0	0	0	0	0	8	0	0	3	0	95	0	0	651	620	0	534	0	0	4	0	0	1	2	0	0	48	0	0	36	0	919	0	0	0	0	12	0	5	0	0	0	17	1	59	0	2	175	0	0	0	0	0
MSM79H98	0	28	19	55	941	297	3	0	3	47	414	66	189	0	1	0	788	402	396	2723	558	0	711	0	0	157	0	0	0	0	0	0	3	4	0	2	0	0	0	3	16	0	0	1	0	23	34	0	0	0	0	6	8	0	0	343	0	777	11	0	2	0	0	0	3	0	14	18	0	120	74	195	326	0	0	4	0	0	5	0	0	0	0	2	24	37	1	1	88	52	1	0	2	1
MSM79HBN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	39	0	75	259	0	0	0	5	0	0	298	0	10	0	12	323	0	0	0	64	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6805	0	0	0	0	208	2	389	0	3	1	0	0	0	376	749
MSM79HBP	0	0	0	11	0	0	23	0	0	0	91	0	0	0	0	0	539	559	150	0	473	7	0	81	24	8	0	0	20	24	1	0	0	0	19	0	106	83	0	40	0	9	0	0	3	26	77	0	5	1575	0	992	19	72	625	0	0	1520	5	0	0	2	238	4	35	0	11	10	0	0	70	479	132	0	1	6	0	48	586	30	0	9	0	436	36	360	0	1	66	0	7	0	163	85
MSM79HBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	701	0	0	0	0	8632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	172	1	19	0	0	0	0	0	0
MSM79HBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	27	0	0	0	115	16	0	0	0	0	0	0	15	0	0	0	0	0	0	0	5907	0	0	0	0	0	0	0	0	42	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	873	0	383	3	2	1	0	3	4	2376	0
MSM79HBV	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	37	64	18	22	0	2662	113	0	11	0	35	0	0	0	0	0	0	0	2008	0	0	0	0	0	0	0	2	0	3	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	2717	0	223	2	13	3	0	30	0	1596	425
MSM79HDK	0	2	1	0	102	7	0	0	0	3	213	40	1	0	7	0	165	414	332	1529	239	0	49	0	0	1239	0	0	0	0	0	0	0	1	66	2	0	0	0	0	14	0	0	23	1507	0	0	1	0	13	0	39	4	0	0	0	0	874	7	44	0	0	28	1	1	0	0	3	0	107	22	749	1146	0	0	0	0	0	0	0	0	1	0	0	1	24	2	11	72	589	0	0	306	0
MSM79HDM	0	16	9	1	943	85	0	0	2	2	564	428	9	0	25	0	123	434	74	2379	457	0	314	0	0	281	0	0	0	0	8	0	0	0	0	2	0	0	0	0	8	0	1	76	59	2	8	0	0	0	0	24	3	0	0	1	0	571	3	0	3	0	0	3	1	1	2	10	0	226	73	645	1324	0	0	0	0	0	0	0	1	0	0	26	0	132	0	0	90	436	0	0	115	1
MSM79HDO	0	39	59	258	1275	147	37	0	8	1	419	978	3	0	90	0	85	51	160	656	284	0	1630	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	31	0	9	5	0	126	30	0	0	0	3	35	8	0	0	0	0	1090	0	0	5	3	0	0	17	8	143	6	0	183	16	1082	240	0	0	0	0	0	0	0	0	0	0	26	119	416	6	2	95	111	0	0	0	0
MSM79HDQ	0	16	6	88	889	192	39	0	0	6	557	27	56	0	25	0	311	403	124	1448	756	0	1030	0	0	42	0	0	0	0	0	0	4	0	5	3	0	0	0	0	18	0	3	11	0	73	22	0	0	0	0	101	21	0	0	86	0	2077	4	4	6	0	48	0	17	0	82	13	0	161	26	275	550	0	0	0	0	0	0	0	2	0	0	31	62	131	10	2	90	46	0	0	0	1
MSM79HDQ_TR	0	11	7	68	1210	120	43	0	0	0	527	25	18	0	39	0	202	348	85	1682	719	0	890	0	0	166	0	0	0	0	0	0	8	0	6	5	0	0	0	0	20	0	11	9	0	75	23	0	0	0	0	55	17	0	0	75	0	1948	10	6	22	0	0	0	7	0	139	14	0	207	22	274	470	0	0	0	0	0	0	0	2	0	0	40	65	96	27	6	131	53	0	0	0	0
