	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM79HQV	0	0	0	2509	0	753	1	0	5091	0	0	0	0	0	0	7	0	0	214	0	0	0	1278	19	6
CSM79HQX	0	0	0	2253	0	1693	0	0	4458	0	0	0	0	0	948	0	0	0	403	0	0	0	9	57	61
CSM79HQZ	12	0	0	1369	0	1554	0	0	4209	0	0	0	1	0	699	5	0	0	1599	0	0	0	306	14	179
CSM79HR2	29	0	0	1063	0	1859	0	0	5452	0	0	1	3	0	617	0	19	0	516	0	0	0	9	64	259
CSM79HR4	0	0	0	1953	0	2731	0	0	4681	0	0	0	0	0	230	0	0	0	211	0	0	0	0	52	84
CSM79HR6	0	0	0	914	0	1037	0	0	4430	0	0	0	1	0	0	6	5	0	1873	0	0	0	0	21	1496
CSM79HR8	245	0	0	60	0	0	0	0	1202	0	0	3149	2356	0	0	0	1202	768	564	0	408	0	0	23	25
CSM79HRC	37	0	0	167	0	0	0	0	1197	0	0	1	1571	0	0	0	1860	1531	2901	0	461	0	0	126	147
CSM79HRE	0	0	0	591	0	0	0	1	3180	0	0	4	2467	0	0	0	692	41	2452	0	407	0	0	33	102
CSM79HRG	0	0	0	40	0	0	0	0	2147	0	0	0	1392	0	78	0	1776	2409	1756	0	249	0	0	65	82
CSM7KOJE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1927	0	0	0	0	0	0	0	114	0
CSM7KOJG	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2018	11	0	5	0	0	143	0	217	1
CSM7KOJO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	0	0	0	0	0	0	0	110	0
CSM7KOK3	0	1759	656	451	0	115	166	0	270	0	199	2901	1101	0	30	0	133	0	1400	0	0	0	24	169	182
CSM7KOK5	0	54	284	492	0	190	51	0	2611	1650	877	1100	417	0	136	3	155	0	843	505	137	0	0	100	157
CSM7KOK7	0	841	637	632	0	140	93	0	763	0	955	1980	341	0	47	0	0	0	2147	9	0	0	0	442	278
CSM7KOKB	0	83	329	913	0	145	147	0	2071	32	666	1685	434	0	94	4	2	0	1666	17	0	0	0	0	13
CSM7KOKD	0	103	720	728	0	122	632	0	1350	0	1459	1903	294	0	0	0	0	0	714	23	0	0	0	25	82
CSM7KOKF	0	122	446	1347	2	0	0	0	65	1973	332	581	1974	0	0	0	742	100	594	233	303	0	0	28	35
CSM7KOKJ	0	28	45	658	0	10	3	0	78	2989	76	747	2326	0	0	0	137	0	1665	137	41	0	0	30	39
CSM7KOKN	0	46	220	969	4	0	0	1	62	3019	285	959	1459	0	0	0	858	168	623	174	135	0	0	13	23
CSM7KOKR	65	0	0	0	462	0	9	2002	69	974	144	1852	629	0	0	753	290	0	2373	50	0	0	137	8	26
CSM7KOKT	0	0	0	0	470	0	32	2250	120	1857	266	2268	514	0	0	933	77	0	809	9	0	0	174	12	5
