	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
HSM6XRV2	0	0	6	148	78	0	0	1	0	1	2	0	1302	355	1442	23	378	399	0	54	186	1	19	21	0	0	0	0	0	0	0	0	0	0	0	0	16	25	108	0	127	169	0	48	32	227	3	118	2296	121	21	920	0	19	0	0	0	0	0	0	4	8	0	0	86	1	145	16	1	0	70	0	0	388	0	0	0	0	30	68	161	110	220	0	3	4	19
HSM6XRV4	0	0	6	109	21	0	0	0	0	0	0	0	941	239	1704	4	946	208	1	20	150	43	7	0	0	7	49	0	0	0	0	0	0	0	0	0	17	8	29	0	33	57	0	0	0	151	5	6	1065	156	19	2669	0	383	2	0	0	0	0	0	0	4	8	0	43	0	152	0	11	0	68	0	0	167	0	0	0	0	8	10	71	85	213	8	16	8	70
HSM6XRV6	3	0	7	266	86	1	2	0	0	0	2	0	1051	216	1481	26	342	328	2	25	158	27	7	2	0	4	0	0	0	0	0	0	0	0	13	0	31	7	20	0	13	43	0	1	0	66	6	3	1366	116	8	1911	0	915	3	0	0	0	0	0	2	4	6	40	47	0	323	0	9	0	101	2	0	162	0	0	0	0	10	20	100	84	296	2	28	23	184
HSM6XRV8	0	0	10	79	10	0	0	0	0	0	1	0	339	129	434	5	48	158	1	5	1358	63	14	18	0	0	0	0	0	0	1	0	0	0	4	7	206	9	35	0	25	52	0	94	3	26	26	4	1652	41	9	2007	0	1047	8	0	0	0	0	0	4	2	5	0	22	1	123	0	3	3	123	31	0	476	0	0	0	0	24	28	175	108	573	1	58	13	299
HSM7CZ1V	0	8	77	2	75	0	0	0	0	0	0	392	2	651	1537	434	1372	3424	41	0	4	0	4	24	0	36	0	1	3	0	3	1	0	0	10	2	0	0	71	0	5	32	0	0	0	68	5	0	0	0	8	444	2	28	5	0	0	0	32	0	1	5	5	81	82	12	0	813	8	2	0	0	44	15	1	0	0	3	25	22	0	0	55	0	0	0	0
HSM7CZ1Z	1	76	949	2	258	2	0	5	0	0	2	348	40	711	966	206	1039	1514	69	6	7	0	59	36	0	29	0	10	4	2	11	1	0	2	145	8	0	0	46	0	13	59	0	0	0	187	35	0	1	0	23	429	14	0	5	0	0	0	38	1	4	20	41	134	173	12	2	983	26	3	553	40	0	18	0	0	0	99	98	87	0	0	127	0	0	0	0
HSM7CZ22	0	28	435	0	221	4	0	0	0	0	0	392	0	1303	817	192	1438	1873	289	0	33	0	23	53	0	26	0	1	3	1	4	0	0	0	46	3	0	0	41	0	2	90	0	8	5	0	7	0	0	0	88	1122	4	1	3	1	0	0	53	0	7	9	0	142	64	217	0	493	13	4	0	6	181	67	0	0	0	8	21	51	0	0	61	0	0	0	0
HSM7J4GP	0	42	607	0	219	2	0	0	0	1	0	224	0	495	732	412	1025	2151	67	0	5	0	8	72	0	46	0	7	11	0	5	0	0	1	191	4	0	0	19	0	2	69	0	0	0	116	15	0	0	0	43	1109	15	45	11	0	0	0	28	0	7	46	7	164	40	17	0	1641	25	0	0	0	17	6	38	1	0	8	15	16	0	0	99	0	0	0	2
HSM7J4GR	0	26	304	0	86	0	0	0	0	20	0	392	0	246	594	232	2084	2955	38	2	5	0	3	19	0	28	1	2	4	0	8	0	0	2	16	12	0	0	29	0	2	47	0	14	17	66	2	0	0	0	33	733	1	29	6	0	0	0	25	1	3	6	17	128	61	21	15	1513	16	0	0	6	34	0	0	0	1	0	5	21	0	0	39	0	0	0	1
HSM7J4HM	0	0	0	270	0	1	0	39	0	0	0	0	0	522	0	0	0	3	86	0	0	195	165	0	0	253	0	0	0	0	66	2	16	0	0	7	46	26	85	4	0	487	0	5	0	138	0	0	4705	0	0	1508	8	9	16	0	2	0	0	0	6	0	16	0	0	570	425	0	0	3	1	0	0	43	0	0	0	2	105	135	6	5	3	3	0	9	0
HSM7J4HO	0	0	0	451	0	0	0	173	0	0	0	0	0	430	2	0	0	6	229	0	0	118	126	0	0	127	0	0	8	0	34	0	5	0	0	8	28	6	47	9	0	152	0	4	6	81	14	0	2709	0	0	2866	2	7	14	0	0	0	0	0	3	0	0	0	0	741	632	0	1	0	0	3	0	22	678	0	0	7	77	128	9	6	12	5	0	9	0
