	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79H54	101	36	76	170	969	1	352	4	1	10	462	327	0	15	0	141	0	0	0	1	126	0	3	55	74	0	1342	0	0	233	21	1	1	6	0	0	0	0	0	0	0	89	0	0	0	0	10	0	0	0	16	2	2	7	0	0	62	517	0	61	0	0	0	0	18	0	3	1	16	7	0	0	61	434	0	0	16	0	0	0	1	32	0	0	0	1	3134	0	0	0	1	82	0	0	3	900	0	0	0	0	0
MSM79H58	619	7	35	69	497	0	121	13	5	22	213	437	0	38	0	77	0	0	0	0	128	0	20	16	91	0	666	0	0	424	23	2	2	0	2	0	0	0	0	2	0	50	0	0	0	0	4	0	1	0	38	10	0	24	5	0	365	315	0	96	1	0	0	1	0	1	5	1	43	10	0	0	93	231	0	0	80	0	3	0	1	32	0	0	0	2	3641	0	2	0	6	301	0	0	17	1090	0	0	0	0	0
MSM79H5A	593	15	38	79	592	0	161	4	0	11	198	220	0	23	0	170	13	0	0	0	240	15	22	16	48	2	969	0	0	181	20	2	3	4	2	0	0	0	0	0	0	24	0	0	0	0	13	0	0	0	22	1	12	21	0	0	139	402	0	93	0	0	0	0	16	0	3	2	15	9	0	0	121	214	0	6	139	0	0	0	1	24	0	0	0	1	3938	0	4	0	3	174	0	0	3	960	0	0	0	0	0
MSM79H5E	56	49	19	55	702	15	161	0	0	2	31	303	8	0	11	0	43	0	1586	2	93	122	152	60	1000	36	941	0	0	0	13	1	0	0	0	0	0	1	0	0	0	0	0	4	11	17	0	0	28	11	0	7	0	35	30	5	75	0	30	649	0	0	0	0	19	0	107	0	0	4	0	130	75	108	0	290	17	0	4	1531	0	76	25	32	0	0	0	18	0	0	11	75	0	0	0	695	416	0	0	0	0
MSM79H5G	61	22	6	25	455	31	114	0	0	13	11	189	0	0	25	0	15	0	1466	0	25	78	114	163	1038	14	322	0	0	0	28	3	0	0	0	1	0	0	0	0	0	2	0	2	2	4	5	0	12	19	0	0	3	54	20	3	239	0	15	1505	0	0	2	0	0	0	109	0	0	3	0	223	169	105	0	178	42	1	5	1874	0	14	6	53	51	0	0	19	0	0	10	61	0	0	0	970	0	0	0	0	0
MSM79H5K	85	35	82	38	950	24	240	0	1	14	36	224	16	0	48	0	9	0	808	3	54	83	57	36	995	16	1152	0	0	0	50	2	0	0	0	0	0	101	0	0	0	1	0	7	6	9	0	0	22	17	0	0	0	166	32	5	371	0	14	854	0	0	1	2	0	0	167	0	0	5	0	321	146	101	0	266	0	0	0	325	0	59	63	86	3	1	0	76	0	0	28	128	0	0	0	1563	0	0	0	0	0
MSM79H5M	111	19	10	26	797	34	199	5	0	6	38	273	3	1	31	0	22	0	1058	1	75	94	41	138	808	24	720	0	0	0	14	1	0	0	0	3	0	0	0	0	0	0	0	14	12	14	0	0	41	36	0	100	0	215	88	10	420	0	4	942	0	0	1	4	0	0	202	0	1	7	0	279	238	57	0	140	0	0	0	630	0	109	28	37	14	1	0	192	0	0	42	218	0	0	0	1354	0	0	0	0	0
MSM79H5Q	0	0	0	172	592	0	29	0	0	0	66	296	292	0	0	0	0	78	0	0	67	2382	87	3526	320	458	274	1	0	0	5	1	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	1	1	0	0	1	30	1	0	31	0	3	503	0	1	0	0	0	0	0	0	7	1	2	0	26	62	7	183	47	0	0	0	0	29	166	9	0	1	10	0	0	23	4	15	0	0	0	122	0	0	0	0	0
MSM79H5S	0	0	0	99	538	0	7	1	0	0	24	705	121	0	0	0	0	137	0	0	30	1757	143	2070	541	320	126	3	0	2	52	10	0	0	0	0	0	3	0	0	0	80	0	5	3	0	0	0	8	21	0	17	1	36	12	9	678	0	57	958	0	0	1	0	0	0	1	0	9	6	0	0	50	102	10	600	0	0	0	0	0	2	58	91	0	7	74	0	0	70	14	58	0	0	0	268	0	0	0	0	0
MSM79H5U	0	0	0	172	546	0	27	0	0	0	48	142	240	0	0	0	0	60	0	0	15	1689	76	2661	84	158	165	1	0	1	23	3	0	0	0	0	0	0	0	0	0	120	0	0	1	0	0	0	2	8	0	0	1	68	0	2	63	0	14	1878	0	0	0	0	0	0	0	0	3	4	19	0	44	50	23	291	0	0	0	0	0	150	266	45	0	4	67	0	0	103	4	39	0	0	0	621	0	0	0	0	0
