species,smillie_auc,genome_name,smillie_engraftment_prob
Burkholderiales_bacterium,0.5625,Burkholderiales_bacterium_1_1_47,0.125
Corynebacterium_accolens,0.53125,Corynebacterium_accolens_ATCC_49726,0.0625
Candidate_division,0.59375,Candidate_division_TM7_single-cell_isolate_TM7b,0.1875
Corynebacterium_efficiens,0.625,Corynebacterium_efficiens,0.25
Corynebacterium_glucuronalyticum,0.53125,Corynebacterium_glucuronalyticum_ATCC_51867,0.0625
Lactobacillus_helveticus,0.583333333333333,Lactobacillus_helveticus_DSM_20075,0.16666666666666607
Lactobacillus_jensenii,0.5625,Lactobacillus_jensenii_JV-V16,0.125
Lactobacillus_reuteri,0.5,Lactobacillus_reuteri_CF48-3A,0.0
Lactobacillus_rhamnosus,0.567708333333333,"Lactobacillus_rhamnosus_GG,_ATCC_53103",0.13541666666666607
Leuconostoc_mesenteroides,0.541666666666667,Leuconostoc_mesenteroides_cremoris_ATCC_19254,0.08333333333333393
Prevotella_marshii,0.5625,Prevotella_marshii_DSM_16973,0.125
Proteus_mirabilis,0.625,Proteus_mirabilis_ATCC_29906,0.25
Selenomonas_sp.,0.53125,Selenomonas_sp._67H29BP_F0410,0.0625
Carnobacterium_sp.,0.557291666666667,Carnobacterium_sp._AT7,0.11458333333333393
Catenibacterium_mitsuokai,0.625,Catenibacterium_mitsuokai_DSM_15897,0.25
Catenulispora_acidiphila,0.5,Catenulispora_acidiphila_DSM_44928,0.0
Catonella_morbi,0.515625,Catonella_morbi_ATCC_51271,0.03125
Cellulomonas_flavigena,0.5,Cellulomonas_flavigena_DSM_20109,0.0
Chromobacterium_violaceum,0.5,Chromobacterium_violaceum_ATCC_12472,0.0
Chromohalobacter_salexigens,0.53125,Chromohalobacter_salexigens_DSM_3043,0.0625
Citrobacter_koseri,0.5625,Citrobacter_koseri_ATCC_BAA-895,0.125
Citrobacter_sp.,0.520833333333333,Citrobacter_sp.,0.041666666666666075
Clostridiales_bacterium,0.59375,Clostridiales_bacterium_1_7_47FAA_strain,0.1875
Clostridium_asparagiforme,0.53125,Clostridium_asparagiforme_DSM_15981,0.0625
Clostridium_bartlettii,0.557291666666667,Clostridium_bartlettii_DSM_16795,0.11458333333333393
Clostridium_beijerinckii,0.557291666666667,Clostridium_beijerinckii_NCIMB_8052,0.11458333333333393
Clostridium_bolteae,0.5625,Clostridium_bolteae_ATCC_BAA-613,0.125
Clostridium_botulinum,0.557291666666667,Clostridium_botulinum_B_str._Eklund_17B,0.11458333333333393
Actinomyces_odontolyticus,0.5625,Actinomyces_odontolyticus_ATCC_17982,0.125
Clostridium_butyricum,0.557291666666667,Clostridium_butyricum_E4_str._BoNT_E_BL5262,0.11458333333333393
Clostridium_carboxidivorans,0.583333333333333,Clostridium_carboxidivorans_P7,0.16666666666666607
Clostridium_cellulovorans,0.5,Clostridium_cellulovorans_743B,0.0
Clostridium_hathewayi,0.59375,Clostridium_hathewayi_DSM_13479,0.1875
Clostridium_hiranonis,0.583333333333333,Clostridium_hiranonis_DSM_13275,0.16666666666666607
Clostridium_hylemonae,0.53125,Clostridium_hylemonae_DSM_15053,0.0625
Clostridium_leptum,0.5625,Clostridium_leptum_DSM_753,0.125
Clostridium_methylpentosum,0.5,Clostridium_methylpentosum_DSM_5476,0.0
Clostridium_nexile,0.510416666666667,Clostridium_nexile_DSM_1787,0.020833333333333925
Clostridium_novyi,0.583333333333333,Clostridium_novyi_NT,0.16666666666666607
Clostridium_papyrosolvens,0.5,Clostridium_papyrosolvens_DSM_2782,0.0
Actinomyces_urogenitalis,0.5,Actinomyces_urogenitalis_DSM_15434,0.0
Clostridium_perfringens,0.53125,Clostridium_perfringens_ATCC_13124,0.0625
Streptococcus_pneumoniae,0.526041666666667,Streptococcus_pneumoniae_AP200,0.052083333333333925
Gordonia_bronchialis,0.5625,Gordonia_bronchialis_DSM_43247,0.125
Clostridium_phytofermentans,0.53125,Clostridium_phytofermentans_ISDg,0.0625
Clostridium_ramosum,0.5625,Clostridium_ramosum_DSM_1402,0.125
Clostridium_scindens,0.53125,Clostridium_scindens_ATCC_35704,0.0625
Actinosynnema_mirum,0.5,Actinosynnema_mirum_DSM_43827,0.0
Clostridium_sp.,0.557291666666667,Clostridium_sp._7_2_43FAA,0.11458333333333393
Clostridium_spiroforme,0.5625,Clostridium_spiroforme_DSM_1552,0.125
Clostridium_sporogenes,0.5,Clostridium_sporogenes_ATCC_15579,0.0
Collinsella_aerofaciens,0.625,Collinsella_aerofaciens_ATCC_25986,0.25
Collinsella_intestinalis,0.53125,Collinsella_intestinalis_DSM_13280,0.0625
Collinsella_stercoris,0.53125,Collinsella_stercoris_DSM_13279,0.0625
Coprococcus_comes,0.53125,Coprococcus_comes_ATCC_27758,0.0625
Coprococcus_eutactus,0.53125,Coprococcus_eutactus_ATCC_27759,0.0625
Aeromonas_hydrophila,0.505208333333333,Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966,0.010416666666666075
Corynebacterium_tuberculostearicum,0.625,Corynebacterium_tuberculostearicum_SK141,0.25
Cronobacter_turicensis,0.510416666666667,Cronobacter_turicensis,0.020833333333333925
Desulfovibrio_desulfuricans,0.505208333333333,Desulfovibrio_desulfuricans_G20,0.010416666666666075
Desulfovibrio_magneticus,0.505208333333333,Desulfovibrio_magneticus_RS-1,0.010416666666666075
Desulfovibrio_piger,0.541666666666667,Desulfovibrio_piger_ATCC_29098,0.08333333333333393
Desulfovibrio_vulgaris,0.53125,Desulfovibrio_vulgaris_str._Miyazaki_F,0.0625
Dialister_invisus,0.53125,Dialister_invisus_DSM_15470,0.0625
Akkermansia_muciniphila,0.5625,Akkermansia_muciniphila_ATCC_BAA-835,0.125
Dorea_formicigenerans,0.59375,Dorea_formicigenerans_ATCC_27755,0.1875
