	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79HFY	0	1	140	1074	182	3	0	146	26	11	1	0	169	38	0	96	3023	286	113	687	0	0	0	2	0	8	9	0	0	0	0	0	0	0	11	0	0	1	3	0	4	16	0	0	0	57	1	0	203	313	0	1103	0	3	0	0	0	0	5	0	1	0	21	93	5	46	12	190	10	0	0	132	34	0	0	0	18	0	13	19	0	0	426	5	1	7	5
MSM9VZF7	0	18	71	827	248	2	2	544	831	12	152	0	0	522	0	5	47	65	0	1246	0	0	38	5	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	17	0	0	10	3	0	80	1493	0	82	0	0	0	0	0	0	1	0	6	6	0	0	21	512	0	75	0	0	0	6	0	0	0	0	1679	0	2	93	0	0	794	0	0	0	0
MSM9VZFF	466	4	59	310	131	2	15	242	248	12	45	23	0	664	0	1	32	60	0	484	0	0	280	17	1	8	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	5	5	0	17	4	0	48	3543	0	34	0	0	0	0	0	0	4	1	5	7	0	0	44	129	0	24	2	0	0	8	0	0	0	4	875	0	9	83	0	0	1633	0	0	0	0
MSM9VZFH	342	5	68	430	215	1	0	235	159	39	100	42	0	663	0	10	34	119	0	834	0	0	214	21	2	6	0	0	0	0	3	0	0	0	78	0	0	0	0	0	0	0	7	9	0	14	3	0	1084	16	0	170	5	0	1	0	53	0	21	5	8	25	0	0	236	209	0	50	2	0	0	13	0	0	0	11	2423	11	12	189	0	0	1560	0	0	0	0
MSM9VZFL	0	21	0	1268	209	3	0	471	489	0	0	1	0	182	0	209	910	1716	0	218	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	4	0	1	0	0	31	18	5	1247	0	102	973	1	0	2	0	1	0	1	0	4	6	5	68	63	1	936	0	1	0	0	0	185	41	0	3	0	0	19	10	0	0	197	0	0	0	0
MSM9VZFN	0	21	0	895	204	6	0	1228	285	1	0	5	0	526	0	349	603	2279	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	9	3	0	34	4	84	6	2	479	0	144	812	0	0	1	0	56	0	2	0	8	3	24	114	28	1	791	0	0	0	0	0	43	25	2	2	0	0	2	50	0	0	271	0	0	0	0
MSM9VZFR	0	19	0	845	209	0	0	761	269	0	0	0	0	794	0	409	666	3191	0	258	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	16	0	4	0	0	5	0	140	2	0	316	0	30	844	1	0	0	0	4	0	0	0	1	9	0	50	100	2	408	0	0	0	0	16	62	32	0	5	0	0	2	20	0	0	219	0	0	0	0
MSM9VZFT	0	9	0	973	130	17	0	337	309	0	0	0	0	868	0	104	534	1301	0	102	40	0	27	0	0	0	0	0	0	9	0	0	0	0	2	0	23	7	55	0	23	2	0	0	0	66	52	12	1496	0	157	1308	1	0	1	0	5	0	1	0	21	6	31	52	74	0	753	0	1	0	0	1	169	42	21	30	0	0	15	82	0	0	596	0	0	0	0
MSM9VZGO	1	1	3	196	26	14	14	173	0	0	0	0	356	24	155	28	75	415	11	67	13	0	0	17	0	1	2	0	0	0	0	0	0	0	3	0	12	13	31	0	19	132	0	86	0	138	81	14	748	0	114	2409	0	0	9	0	0	0	291	0	5	0	0	89	33	58	60	0	1	6	1122	136	68	612	0	0	187	0	34	73	0	0	1436	0	0	0	0
MSM9VZGS	14	9	4	283	27	5	17	75	1	0	0	0	417	7	38	12	225	171	0	121	85	0	0	54	0	0	0	0	0	0	6	0	0	0	1	0	54	65	80	0	59	154	0	318	55	325	72	49	595	0	116	1518	0	0	22	2	0	0	371	0	1	2	0	75	108	30	24	27	1	0	442	160	18	162	0	0	43	0	51	272	0	0	2655	0	0	0	0
