species,betweenness,degree,eigenvector,keystone_score,condition
Ruthenibacterium_lactatiformans,0.03849215826765385,0.3144654088050315,0.06881519696255024,0.12734874116784642,MetS
Roseburia_hominis,0.01942520499960194,0.32704402515723274,0.08678549766136534,0.12518290957924386,MetS
Desulfovibrionaceae_bacterium,0.006567948411750657,0.33333333333333337,0.10929611876699895,0.12514319795927512,MetS
Actinomyces_sp_ICM47,0.015763076188201573,0.32704402515723274,0.09013667221341642,0.12402208008395389,MetS
Firmicutes_bacterium_CAG_110,0.02061937743810206,0.3144654088050315,0.08759207789120393,0.12216772693880125,MetS
Bacteroides_stercoris,0.0062096966802006204,0.3207547169811321,0.10839222208381878,0.1210097078512037,MetS
Bacteroides_salyersiae,0.0060504736884006045,0.3144654088050315,0.1068588207434993,0.11873662363440961,MetS
Roseburia_inulinivorans,0.010747551946501073,0.30817610062893086,0.09067935781181141,0.11596247772429207,MetS
Clostridium_innocuum,0.008040761085900804,0.30817610062893086,0.08403477985282003,0.11328016670219365,MetS
Escherichia_coli,0.023246556802802323,0.2893081761006289,0.0737763962479,0.11317101048116984,MetS
Streptococcus_vestibularis,0.020898017673752087,0.2830188679245283,0.07294976490978107,0.10994462219619074,MetS
Clostridium_leptum,0.008916487540800891,0.2893081761006289,0.08664353639439532,0.10857940387946818,MetS
Bacteroides_caccae,0.008279595573600827,0.2830188679245283,0.0930588108243122,0.10765722032902134,MetS
Eubacterium_siraeum,0.016638802643101663,0.27044025157232704,0.07508014877511257,0.10446750654827146,MetS
Coprococcus_eutactus,0.011464055409601145,0.27672955974842767,0.07841502559320417,0.1044339007479697,MetS
Eubacterium_sp_CAG_38,0.005174747233500517,0.27672955974842767,0.08412632332613741,0.10243150620650604,MetS
Eubacterium_ventriosum,0.010230077223151023,0.27672955974842767,0.06239303183641822,0.10061251290338746,MetS
Bifidobacterium_longum,0.008120372581800811,0.27044025157232704,0.0755785396585798,0.10030796969431448,MetS
Klebsiella_pneumoniae,0.011145609426001114,0.2641509433962264,0.07191501714647873,0.09920109116116423,MetS
Parabacteroides_distasonis,0.003980574795000398,0.27044025157232704,0.07453272624855654,0.09802890811890962,MetS
Blautia_sp_CAG_257,0.008916487540800891,0.2641509433962264,0.06932175232610674,0.09756787725448972,MetS
Coprococcus_catus,0.014728126741501472,0.2389937106918239,0.07677683693431454,0.09441754396516082,MetS
Streptococcus_anginosus_group,0.007045617387150704,0.2578616352201258,0.06344960626627032,0.09357122051286715,MetS
Mogibacterium_diversum,0.006687365655600668,0.25157232704402516,0.06867345798096146,0.09255007253720017,MetS
Ruminococcus_bicirculans,0.016399968155401637,0.2389937106918239,0.0560045983921847,0.09109901696368493,MetS
Adlercreutzia_equolifaciens,0.003423294323700342,0.2389937106918239,0.07338428877030465,0.08808661812345826,MetS
Streptococcus_mitis,0.015683464692301568,0.22012578616352202,0.058192561960600596,0.0855179805873275,MetS
Clostridium_sp_CAG_242,0.004239312156675424,0.23270440251572327,0.06494659704709642,0.08492029624247398,MetS
Clostridium_bolteae,0.009473768012100946,0.23270440251572327,0.05184691824991174,0.08491758841074981,MetS
Megasphaera_elsdenii,0.004697078258100469,0.23270440251572327,0.06142070431296474,0.08444400074636016,MetS
Faecalitalea_cylindroides,0.009234933524400923,0.22012578616352202,0.06328155516488582,0.08331151364423423,MetS
Flavonifractor_plautii,0.016758219886951673,0.22012578616352202,0.03289505477067001,0.08099585674666644,MetS
Roseburia_intestinalis,0.0044582437704004454,0.2138364779874214,0.06267919078103504,0.07891590343763365,MetS
Eubacterium_rectale,0.008319401321550832,0.2138364779874214,0.04652563916543021,0.07761577189008786,MetS
Dorea_longicatena,0.014966961229201495,0.1949685534591195,0.048484470585666226,0.07567094076946984,MetS
Sutterella_parvirubra,0.0028660138524002864,0.1949685534591195,0.0608282259165348,0.07208921814724295,MetS
Alistipes_finegoldii,0.007642703606400764,0.18867924528301888,0.05591036835840842,0.07160719905978773,MetS
Klebsiella_variicola,0.012578616352201257,0.18238993710691825,0.049070788742396815,0.07082044705665547,MetS
Butyricimonas_virosa,0.003821351803200382,0.18867924528301888,0.05878344361292026,0.07027113820908991,MetS
Lactobacillus_ruminis,0.009195127776450918,0.18867924528301888,0.04085747522472134,0.06937283251807538,MetS
Desulfovibrio_piger,0.00921503065042592,0.18867924528301888,0.03658346014978089,0.0685279809400748,MetS
Blautia_hydrogenotrophica,0.0023883448770002386,0.18867924528301888,0.05352317487331397,0.06850258099806858,MetS
Phascolarctobacterium_faecium,0.01011065997930101,0.18867924528301888,0.030153668920043456,0.06768983735856486,MetS
Roseburia_faecis,0.0043786322745004375,0.18238993710691825,0.044070583129166646,0.06572041389515902,MetS
Gemmiger_formicilis,0.005015524241700501,0.18238993710691825,0.03485432149190504,0.06419560755130674,MetS
Methanobrevibacter_smithii,0.004617466762200461,0.17610062893081763,0.03887921404736084,0.06291476486981767,MetS
Coprococcus_comes,0.005413581721200541,0.17610062893081763,0.031242679158435906,0.06178551537153274,MetS
Actinomyces_naeslundii,0.0025475678688002545,0.169811320754717,0.04358904654517527,0.06093498946985028,MetS
Ruminococcus_torques,0.0026271793647002625,0.15723270440251574,0.0349461767529237,0.05547263635368959,MetS
Bilophila_wadsworthia,0.01050871745880105,0.15094339622641512,0.024674705528584057,0.05547231870304187,MetS
Fusicatenibacter_saccharivorans,0.0011145609426001114,0.15723270440251574,0.03571707243551583,0.05487050627915794,MetS
Slackia_isoflavoniconvertens,0.007563092110500756,0.14465408805031446,0.028660808876641207,0.05290993424567296,MetS
Lachnospira_pectinoschiza,0.01552424170050155,0.12578616352201258,0.03312328588709005,0.05212262708427256,MetS
