species,disease,causal_ace,causal_sig
Acidaminococcus_intestini,ICI,-0.12516,0.0
Agathobaculum_butyriciproducens,ICI,0.22177,1.0
Alistipes_putredinis,ICI,0.07038,0.0
Anaerostipes_hadrus,ICI,0.36766,1.0
Anaerotruncus_sp_CAG_528,ICI,-0.06274,0.0
Bacteroides_vulgatus,ICI,-0.03675,0.0
Bifidobacterium_adolescentis,ICI,0.05578,0.0
Bifidobacterium_longum,ICI,0.01434,0.0
Blautia_sp_CAG_257,ICI,0.01162,0.0
Blautia_wexlerae,ICI,0.30042,1.0
Citrobacter_braakii,ICI,,
Clostridium_innocuum,ICI,,
Collinsella_aerofaciens,ICI,0.04539,0.0
Dialister_sp_CAG_357,ICI,0.09794,0.0
Dorea_formicigenerans,ICI,0.20746,1.0
Dorea_longicatena,ICI,-0.00391,0.0
Eggerthella_lenta,ICI,0.35704,1.0
Erysipelatoclostridium_ramosum,ICI,0.0678,0.0
Escherichia_coli,ICI,-0.11712,0.0
Eubacterium_eligens,ICI,0.15343,0.0
Eubacterium_hallii,ICI,0.16673,1.0
Eubacterium_ramulus,ICI,0.36631,1.0
Eubacterium_rectale,ICI,0.03024,0.0
Eubacterium_sp_CAG_38,ICI,0.09258,0.0
Eubacterium_ventriosum,ICI,0.07247,0.0
Faecalibacterium_prausnitzii,ICI,-0.00954,0.0
Flavonifractor_plautii,ICI,-0.03545,0.0
Fusicatenibacter_saccharivorans,ICI,0.21079,1.0
Gemmiger_formicilis,ICI,0.03995,0.0
Gordonibacter_pamelaeae,ICI,0.12097,0.0
Lachnospira_pectinoschiza,ICI,-0.17826,1.0
Lactobacillus_ruminis,ICI,-0.12273,0.0
Lactococcus_lactis,ICI,,
Megamonas_funiformis,ICI,-0.03565,0.0
Megamonas_hypermegale,ICI,-0.02385,0.0
Phascolarctobacterium_faecium,ICI,0.02561,0.0
Prevotella_copri,ICI,-0.12881,1.0
Roseburia_faecis,ICI,-0.0184,0.0
Roseburia_intestinalis,ICI,0.09353,0.0
Roseburia_inulinivorans,ICI,0.21928,1.0
Ruminococcus_gnavus,ICI,0.22891,1.0
Ruthenibacterium_lactatiformans,ICI,0.08454,0.0
Streptococcus_downei,ICI,,
Streptococcus_thermophilus,ICI,0.00384,0.0
Alistipes_indistinctus,ICI,,
Alistipes_inops,ICI,0.28778,1.0
Alistipes_shahii,ICI,0.3263,1.0
Bacteroides_clarus,ICI,0.04279,1.0
Bacteroides_dorei,ICI,0.14553,0.0
