species,disease,keystone_conflict_mean,niche_overlap_mean
Bifidobacterium_bifidum,rCDI,0.0,0.20400000000000001
Bifidobacterium_bifidum,MetS,0.0,0.1981888888888889
Bifidobacterium_bifidum,MDR,0.0,0.18878333333333333
Bifidobacterium_bifidum,ICI,0.16053921568627452,0.21590121212121213
Bifidobacterium_breve,IBD,0.0,0.0
Bifidobacterium_breve,rCDI,0.0,0.0
Bifidobacterium_breve,MetS,0.0,0.0
Bifidobacterium_breve,MDR,0.0,0.0
Bifidobacterium_breve,ICI,0.0,0.0
Bifidobacterium_catenulatum,IBD,0.0,0.0
Bifidobacterium_catenulatum,rCDI,0.0,0.0
Bifidobacterium_catenulatum,MetS,0.0,0.0
Bifidobacterium_catenulatum,MDR,0.0,0.0
Bifidobacterium_catenulatum,ICI,0.0,0.0
Bifidobacterium_longum,IBD,0.11320754716981132,0.26369166666666666
Bifidobacterium_longum,rCDI,0.07692307692307693,0.2559142857142857
Bifidobacterium_longum,MetS,0.11627906976744186,0.23819545454545452
Bifidobacterium_longum,MDR,0.058823529411764705,0.22234166666666666
Bifidobacterium_longum,ICI,0.08571428571428572,0.32816060606060604
Bifidobacterium_pseudocatenulatum,IBD,0.21739130434782608,0.1829769230769231
Bifidobacterium_pseudocatenulatum,rCDI,0.0,0.0
Bifidobacterium_pseudocatenulatum,MetS,0.0759493670886076,0.2710236842105263
Bifidobacterium_pseudocatenulatum,MDR,0.08333333333333333,0.22351666666666667
Bifidobacterium_pseudocatenulatum,ICI,0.044444444444444446,0.2539458333333333
Bilophila_wadsworthia,IBD,0.0,0.20459999999999998
Bilophila_wadsworthia,rCDI,0.07317073170731707,0.2046777777777778
Bilophila_wadsworthia,MetS,0.0,0.18945714285714285
Bilophila_wadsworthia,MDR,0.1,0.19769166666666668
Bilophila_wadsworthia,ICI,0.05555555555555555,0.3017692307692308
Blautia_hansenii,IBD,0.0,0.0
Blautia_hansenii,rCDI,0.0,0.0
Blautia_hansenii,MetS,0.0,0.0
Blautia_hansenii,MDR,0.0,0.0
Blautia_hansenii,ICI,0.0,0.0
Blautia_hydrogenotrophica,IBD,0.10526315789473684,0.2036846153846154
Blautia_hydrogenotrophica,rCDI,0.0,0.0
Blautia_hydrogenotrophica,MetS,0.16666666666666666,0.19788823529411764
Blautia_hydrogenotrophica,MDR,0.0,0.0
Blautia_hydrogenotrophica,ICI,0.06976744186046512,0.22148400000000001
Blautia_obeum,IBD,0.1111111111111111,0.2836
Blautia_obeum,rCDI,0.008849557522123894,0.33647916666666666
Blautia_obeum,MetS,0.0821917808219178,0.29569
Blautia_obeum,MDR,0.058823529411764705,0.27940625
Blautia_obeum,ICI,0.0967741935483871,0.29411785714285715
Blautia_sp_CAG_257,IBD,0.0,0.0
Blautia_sp_CAG_257,rCDI,0.06521739130434782,0.22440416666666665
Blautia_sp_CAG_257,MetS,0.14285714285714285,0.20803478260869565
Blautia_sp_CAG_257,MDR,0.10526315789473684,0.2590571428571429
Blautia_sp_CAG_257,ICI,0.04,0.2511178571428571
Blautia_wexlerae,IBD,0.13636363636363635,0.2778652173913044
Blautia_wexlerae,rCDI,0.013333333333333334,0.30252
Blautia_wexlerae,MetS,0.06666666666666667,0.3227
Blautia_wexlerae,MDR,0.0,0.25171
Blautia_wexlerae,ICI,0.0967741935483871,0.293503125
Brachyspira_sp_CAG_700,IBD,0.0,0.0
Brachyspira_sp_CAG_700,rCDI,0.0,0.0
Brachyspira_sp_CAG_700,MetS,0.0,0.0
Brachyspira_sp_CAG_700,MDR,0.0,0.0
Brachyspira_sp_CAG_700,ICI,0.0,0.0
Butyricimonas_virosa,IBD,0.1875,0.21685714285714283
Butyricimonas_virosa,rCDI,0.0,0.0
Butyricimonas_virosa,MetS,0.1,0.21229499999999998
Butyricimonas_virosa,MDR,0.16666666666666666,0.22353999999999996
Butyricimonas_virosa,ICI,0.08571428571428572,0.25555
Butyrivibrio_crossotus,IBD,0.0,0.0
Butyrivibrio_crossotus,rCDI,0.0,0.0
Butyrivibrio_crossotus,MetS,0.0,0.0
Butyrivibrio_crossotus,MDR,0.0,0.0
Butyrivibrio_crossotus,ICI,0.0,0.0
Butyrivibrio_sp_CAG_318,IBD,0.0,0.0
Butyrivibrio_sp_CAG_318,rCDI,0.0,0.0
Butyrivibrio_sp_CAG_318,MetS,0.0,0.0
Butyrivibrio_sp_CAG_318,MDR,0.0,0.0
Butyrivibrio_sp_CAG_318,ICI,0.0,0.0
Candidatus_Stoquefichus_sp_KLE1796,IBD,0.0,0.0
Candidatus_Stoquefichus_sp_KLE1796,rCDI,0.0,0.0
Candidatus_Stoquefichus_sp_KLE1796,MetS,0.0,0.0
Candidatus_Stoquefichus_sp_KLE1796,MDR,0.0,0.0
Candidatus_Stoquefichus_sp_KLE1796,ICI,0.0,0.0
Catenibacterium_mitsuokai,IBD,0.35714285714285715,0.22083333333333333
Catenibacterium_mitsuokai,rCDI,0.0,0.0
Catenibacterium_mitsuokai,MetS,0.0,0.24338333333333337
Catenibacterium_mitsuokai,MDR,0.0,0.0
Catenibacterium_mitsuokai,ICI,0.0,0.0
Citrobacter_braakii,IBD,0.0,0.0
Citrobacter_braakii,rCDI,0.0,0.0
Citrobacter_braakii,MetS,0.0,0.0
Citrobacter_braakii,MDR,0.0,0.0
Citrobacter_braakii,ICI,0.0,0.0
