case,drci
FDM041,0.008991056935090185
FDM032,
TF01,0.007491730146158469
TF03,0.0075198007080753875
TF08,0.007507808485949918
TF10,0.007437672102171519
TF11,0.007302884393765815
TF13,0.007162841263768735
TF16,0.007265985243725774
TF19,0.007408593692254211
TF20,0.007474302315660854
TF21,0.007391567512673761
TF22,0.008457238429757642
TF23,0.008426595952743917
TF28,0.00760182625097436
TF29,0.007558661746932096
TF30,0.008444816967145536
TF34,0.008423756937665748
TF35,0.008398129729924288
TF36,0.0071425813721822185
TF38,0.008181370230085454
TF39,0.008481549255551458
TF42,0.00675611696236997
TF43,0.0065998943405805085
TF46,0.0077042725475798424
TF49,0.006885870860567816
TM01,0.006642272791522769
TM02,0.006583415508464216
TM04,0.006756432161891426
TM05,0.0067740300296918665
TM08,0.006685425595717251
TM10,0.006513221275139685
TM14,0.006695641489773406
TM17,0.006361492266991149
TM18,0.006392672253549106
TM21,0.00644349164923891
TM28,0.006281079152709925
TM29,0.006703271384258791
TM30,0.006354578462235963
TM34,0.006297113628832327
TM35,0.006181649193855599
Case_2,0.007971742823622034
Case_1,0.007999770433265243
Case_11,0.006381745658798036
Case_12,0.0072934990456630195
Case_13,0.006274123396608821
Case_14,0.007308349519922995
Case_15,0.00732568667214474
Case_3,0.004729431887358369
Case_4,0.006397429106984374
Case_6,0.003509494759881038
Case_7,0.0035019587863888736
Case_8,0.003489241875746313
Ge_R1,0.004931733311339815
Ge_R11,0.006987016405939323
Ge_R13,0.006965324667794924
Ge_R14,0.007845470936450837
Ge_R2,0.00665044874906486
Ge_R5,0.006718850989810435
Ge_R6,0.0066466024421675375
Ge_R8,0.006546571199834817
Pa_R14,0.006477366830866788
Pa_R2,0.0037700525542467313
Pa_R3,0.005284997641466087
Pa_R5,0.00471826217704804
Ta_R1,0.006823440680771071
Ut_R2,0.007380346446711334
Ut_R4,0.008532829683563458
Ut_R5,0.008550231500132734
BOURSI_R1,0.006340788382325208
BOURSI_R10,0.007651366182906275
BOURSI_R2,0.007629176527391431
BOURSI_R3,0.0063445745748527205
BOURSI_R4,0.007559488748986352
BOURSI_R5,0.006328939343572566
BOURSI_R6,0.007640826311658571
BOURSI_R7,0.006244832255163946
BOURSI_R8,0.007673742984915329
BOURSI_R9,0.006260881250002313
PT_18_0007,0.008206193001729704
PT_18_0018,0.007813995688181937
PT_18_0032,0.00725828681785524
PT_18_0033,0.010759517287510397
PT_18_0034,0.010861595673093338
PT_19_0001,0.01021316897033116
PT_19_0002,0.009705455129311657
PT_19_0006,0.008999743451487274
PT_19_0007,0.007244347027909962
PT_19_0009,0.010888149546756692
PT_19_0010,0.010893182977112607
PT_19_0013,0.008601431648785598
PT_19_0023,0.006790714965129988
PT_19_0024,0.007359772049070064
PT_19_0026,0.007346351075491097
1_1,0.007574166894222237
1_15,0.005693073276790775
1_17,0.0062759188798793795
1_19,0.004352262649677069
1_21,0.007020201335986068
1_22,0.0070992689663835085
1_4,0.006641254820173242
1_9,0.008224717509669174
PE,0.00919037316757029
PH,0.008932522569287392
PI,0.0050856799023197485
PK,0.009896640824334755
PL,0.011522589567628123
PM,0.006137148086704323
PN,0.005293464487032701
PO,0.006044960629448861
PP,0.005314149788414639
P1,0.00732395407414137
P3,0.006469530274728794
P5,0.006616761636373687
P7,0.007341744920926914
P9,0.006445136380950113
P11,0.00699710200453511
P12,0.008993378988339228
P13,0.00699771384044864
P15,0.0066247009980442365
P16,0.004920218560009205
P17,0.007600366063299058
P18,0.009668907118496191
P19,0.006993516934238126
P20,0.008239831313669706
P4,
