species,ace,ci_lower,ci_upper,p_value,significant,n_samples,n_parents_adjusted,p_corrected,sig_bonferroni,p_fdr,sig_fdr
Tyzzerella_nexilis,0.0,0.0,0.0,2.0,0,29,0,1.0,0,1.0,0
Faecalitalea_cylindroides,0.0,0.0,0.0,2.0,0,34,0,1.0,0,1.0,0
Roseburia_sp_CAG_303,-0.00039,-0.05999,0.05649,0.9962,0,32,0,1.0,0,1.0,0
Veillonella_atypica,-0.00133,-0.00984,0.0,0.25,0,36,0,1.0,0,0.49362,0
Dorea_longicatena,-0.00391,-0.07857,0.07479,0.91333,0,150,0,1.0,0,0.98071,0
Bifidobacterium_catenulatum,-0.00433,-0.24745,0.19378,0.93333,0,19,0,1.0,0,0.98602,0
Olsenella_scatoligenes,-0.00604,-0.03117,0.0,0.70234,0,33,0,1.0,0,0.88157,0
Faecalibacterium_prausnitzii,-0.00954,-0.07421,0.06618,0.74667,0,153,0,1.0,0,0.89715,0
Bacteroides_thetaiotaomicron,-0.0114,-0.18691,0.16631,0.89333,0,94,0,1.0,0,0.98071,0
Eubacterium_sp_CAG_274,-0.01234,-0.19732,0.21283,0.85333,0,54,0,1.0,0,0.95475,0
Roseburia_faecis,-0.0184,-0.15337,0.10697,0.81333,0,127,0,1.0,0,0.94109,0
Veillonella_parvula,-0.01881,-0.11462,-0.01105,0.00333,1,20,2,0.43623,0,0.02077,1
Megamonas_hypermegale,-0.02385,-0.2071,0.15521,0.83333,0,27,0,1.0,0,0.94109,0
Bifidobacterium_angulatum,-0.03101,-0.15761,-0.01304,0.00333,1,11,0,0.43623,0,0.02077,1
Flavonifractor_plautii,-0.03545,-0.20106,0.16112,0.71333,0,88,0,1.0,0,0.88157,0
Megamonas_funiformis,-0.03565,-0.17341,0.08032,0.51064,0,15,0,1.0,0,0.75125,0
Bacteroides_vulgatus,-0.03675,-0.14799,0.05873,0.52,0,123,0,1.0,0,0.75125,0
Collinsella_intestinalis,-0.03835,-0.10215,0.0,0.1204,0,34,0,1.0,0,0.3505,0
Parabacteroides_distasonis,-0.04499,-0.16655,0.0809,0.58,0,117,1,1.0,0,0.7833,0
Bifidobacterium_pseudocatenulatum,-0.04511,-0.2603,0.19588,0.79333,0,49,0,1.0,0,0.92791,0
Clostridium_sp_CAG_242,-0.04769,-0.11748,0.0,0.19333,0,40,0,1.0,0,0.469,0
Ruminococcus_sp_CAG_330,-0.04925,-0.2363,0.15758,0.64883,0,23,0,1.0,0,0.8333,0
Bilophila_wadsworthia,-0.04938,-0.23192,0.13426,0.53333,0,70,0,1.0,0,0.75125,0
Bacteroides_coprocola,-0.05565,-0.19523,0.08481,0.44595,0,13,0,1.0,0,0.69547,0
Anaerotruncus_sp_CAG_528,-0.06274,-0.26423,0.12786,0.58,0,14,0,1.0,0,0.7833,0
Coprococcus_catus,-0.07131,-0.2744,0.1112,0.40667,0,98,0,1.0,0,0.68163,0
Ruminococcus_lactaris,-0.074,-0.27019,0.10972,0.53333,0,67,0,1.0,0,0.75125,0
Parabacteroides_johnsonii,-0.07826,-0.2174,0.00348,0.0604,0,34,0,1.0,0,0.21385,0
Proteobacteria_bacterium_CAG_139,-0.08256,-0.16013,4e-05,0.05333,0,75,0,1.0,0,0.19961,0
Ruminococcus_torques,-0.08652,-0.20773,0.03616,0.21333,0,121,0,1.0,0,0.49028,0
Desulfovibrio_piger,-0.08739,-0.26824,0.07573,0.24667,0,33,0,1.0,0,0.49362,0
Monoglobus_pectinilyticus,-0.10387,-0.25718,0.0608,0.23729,0,13,0,1.0,0,0.49362,0
Escherichia_coli,-0.11712,-0.31341,0.10005,0.42667,0,63,2,1.0,0,0.68163,0
Lactobacillus_ruminis,-0.12273,-0.29512,0.07922,0.26,0,22,0,1.0,0,0.49362,0
Acidaminococcus_intestini,-0.12516,-0.24011,0.0,0.72667,0,40,0,1.0,0,0.88966,0
Firmicutes_bacterium_CAG_83,-0.12639,-0.31678,0.07953,0.28667,0,55,0,1.0,0,0.52158,0
Prevotella_copri,-0.12881,-0.24305,-0.01328,0.03333,1,68,0,1.0,0,0.15056,0
Bacteroides_ovatus,-0.13762,-0.29115,0.03116,0.13333,0,108,1,1.0,0,0.36388,0
Megamonas_funiformis_CAG_377,-0.15284,-0.34263,0.0559,0.2,0,20,0,1.0,0,0.47636,0
Lachnospira_pectinoschiza,-0.17826,-0.34194,-0.01176,0.04667,1,73,0,1.0,0,0.19106,0
Bacteroides_fragilis,-0.25295,-0.42795,-0.07896,0.00667,1,78,0,0.8737699999999999,0,0.03495,1
